/*
Absorption coefficient of pure water compiled from data presented
in the following papers:

Segelstein, D. J. (1981). The complex refractive index of water
(Doctoral dissertation, University of Missouri--Kansas City).

Wieliczka, D. M., Weng, S., & Querry, M. R. (1989). Wedge shaped cell
for highly absorbent liquids: infrared optical constants of
water. Applied optics, 28(9), 1714-1719.

Pope, R. M., & Fry, E. S. (1997). Absorption spectrum (380–700 nm) of
pure water. II. Integrating cavity measurements. Applied optics,
36(33), 8710-8723.

Sogandares, F. M., & Fry, E. S. (1997). Absorption spectrum (340–640
nm) of pure water. I. Photothermal measurements. Applied Optics,
36(33), 8699-8709.

Mason, J. D., Cone, M. T., & Fry, E. S. (2016). Ultraviolet (250–550
nm) absorption spectrum of pure water. Applied optics, 55(25),
7163-7172.

Column 1: wavelength [m].
Column 2: absorption coefficient [1/m].
*/

7.45730e-05 8.58700e+04
7.56111e-05 8.44913e+04
7.66637e-05 8.29399e+04
7.77309e-05 8.12899e+04
7.88130e-05 7.96750e+04
7.99101e-05 7.80928e+04
8.10225e-05 7.65388e+04
8.21504e-05 7.50001e+04
8.32940e-05 7.33529e+04
8.44535e-05 7.17455e+04
8.56292e-05 7.01778e+04
8.68212e-05 6.87136e+04
8.80298e-05 6.72912e+04
8.92552e-05 6.58260e+04
9.04977e-05 6.44257e+04
9.17575e-05 6.30963e+04
9.30349e-05 6.17681e+04
9.43300e-05 6.04316e+04
9.56431e-05 5.90505e+04
9.69745e-05 5.77757e+04
9.83245e-05 5.65481e+04
9.96933e-05 5.53428e+04
1.01081e-04 5.41899e+04
1.02488e-04 5.30686e+04
1.03915e-04 5.19704e+04
1.05361e-04 5.08950e+04
1.06828e-04 4.98419e+04
1.08315e-04 4.88105e+04
1.09823e-04 4.78005e+04
1.11352e-04 4.71120e+04
1.12902e-04 4.64492e+04
1.14474e-04 4.57958e+04
1.16067e-04 4.51516e+04
1.17683e-04 4.45164e+04
1.19321e-04 4.38902e+04
1.20982e-04 4.33043e+04
1.22666e-04 4.27430e+04
1.24374e-04 4.21889e+04
1.26105e-04 4.16421e+04
1.27861e-04 4.11023e+04
1.29641e-04 4.05695e+04
1.31446e-04 4.00458e+04
1.33275e-04 3.95293e+04
1.35131e-04 3.90196e+04
1.37012e-04 3.85164e+04
1.38919e-04 3.80197e+04
1.40853e-04 3.75615e+04
1.42814e-04 3.71494e+04
1.44802e-04 3.67417e+04
1.46818e-04 3.63386e+04
1.48861e-04 3.59399e+04
1.50934e-04 3.55559e+04
1.53035e-04 3.51885e+04
1.55165e-04 3.48249e+04
1.57325e-04 3.44651e+04
1.59515e-04 3.41090e+04
1.61736e-04 3.37642e+04
1.63987e-04 3.34249e+04
1.66270e-04 3.30891e+04
1.68585e-04 3.27567e+04
1.70931e-04 3.24557e+04
1.73311e-04 3.21877e+04
1.75724e-04 3.19219e+04
1.78170e-04 3.16583e+04
1.80650e-04 3.13991e+04
1.83165e-04 3.11474e+04
1.85715e-04 3.08976e+04
1.88300e-04 3.06499e+04
1.90921e-04 3.03971e+04
1.93579e-04 3.01310e+04
1.96274e-04 2.98673e+04
1.99006e-04 2.96058e+04
